Bigram,word count,file count
and the,5,5
the only,5,5
only band,1,1
band that,1,1
that sucked,1,1
sucked worse,1,1
worse live,1,1
live is,1,1
is those,1,1
those fags,1,1
fags guns,1,1
guns amp,1,1
amp poses,1,1
coons and,1,1
and monkeys,1,1
monkeys like,1,1
like you,12,12
you disgust,1,1
disgust me,3,3
me you,4,4
you minstrel,1,1
minstrel show,1,1
show negro,1,1
negro crying,1,1
crying about,1,1
about shit,1,1
shit all,1,1
all the,13,13
the time,3,3
time youre,1,1
youre a,32,31
a disgrace,1,1
disgrace everywhere,1,1
big fucking,1,1
fucking deal,1,1
deal cry,1,1
cry baby,2,2
baby niggers,1,1
who takes,1,1
takes mid,1,1
mid from,1,1
from the,6,6
the best,1,1
best midlaner,1,1
midlaner na,1,1
na fuckin,1,1
fuckin solo,1,1
solo q,1,1
q fags,1,1
what a,11,11
a fag,26,26
yall is,1,1
is coons,1,1
coons n,1,1
n uncle,1,1
uncle toms,2,2
america today,1,1
today the,1,1
the rule,1,1
rule of,1,1
of thumb,1,1
thumb is,1,1
is when,1,1
when in,1,1
in doubt,1,1
doubt blame,1,1
blame whitey,3,3
i dont,27,26
dont hate,2,2
hate the,6,6
the japs,1,1
japs but,1,1
but i,12,12
i aint,5,5
aint forgetting,1,1
forgetting gettin,1,1
gettin japped,1,1
japped either,1,1
rt uhhh,1,1
uhhh youve,1,1
youve been,1,1
been judged,1,1
judged it,1,1
it happens,2,2
happens whitepower,1,1
whitepower ill,1,1
ill hang,1,1
hang you,1,1
you nigger,1,1
nigger wo,1,1
the jew,2,2
jew favorited,1,1
favorited my,1,1
my tweet,1,1
tweet though,1,1
though lol,1,1
lol dont,1,1
dont have,6,6
have anymore,1,1
anymore time,1,1
time for,3,3
for this,2,2
this trash,2,2
man ducked,1,1
ducked me,1,1
me like,3,3
like a,46,45
a true,1,1
true hick,1,1
hick would,1,1
would have,4,4
have split,1,1
split that,1,1
that white,3,3
white trash,62,56
trash faggot,1,1
faggot lid,1,1
lol rt,2,2
rt youuuuu,1,1
youuuuu got,1,1
got niggas,3,3
niggas but,1,1
dont got,2,2
got bitches,3,3
rt ill,2,2
ill kill,2,2
kill this,2,2
this bitch,9,9
bitch no,1,1
no hesitation,1,1
those niggers,2,2
niggers disgust,1,1
me they,3,2
they should,4,4
should have,3,3
have dealt,1,1
dealt with,1,1
with years,1,1
years ago,2,2
ago we,1,1
we wouldnt,1,1
wouldnt be,2,2
be having,2,2
having these,1,1
these problems,1,1
problems now,1,1
