Bigram,word count,file count
bitch where,14,14
where you,23,22
you goin,2,2
smack these,1,1
these hoes,499,492
hoes on,48,48
on they,17,17
they ass,10,10
ass like,10,10
like we,12,12
we bi,2,2
bi these,1,1
these bitches,274,274
you dont,114,110
dont know,84,78
know what,48,48
what i,48,48
i know,160,158
know name,1,1
name somebody,1,1
somebody colder,1,1
colder you,1,1
you monkey,1,1
monkey faced,2,2
faced immigrant,1,1
pisses me,6,6
me off,22,21
off so,1,1
so much,49,49
much when,1,1
when brett,1,1
brett screams,1,1
screams fag,1,1
fag or,2,2
or whore,1,1
whore out,1,1
out the,35,34
the window,5,5
window at,1,1
at people,1,1
chase the,1,1
the pussy,193,188
pussy its,5,5
its a,86,85
a sin,2,2
sin falls,1,1
falls in,2,2
in ya,19,18
ya lap,1,1
lap its,1,1
a blessing,4,4
is there,4,4
there a,4,4
a website,1,1
website that,1,1
that delivers,1,1
delivers expensive,1,1
expensive wine,1,1
wine cigars,1,1
cigars and,1,1
and big,5,5
big booty,37,34
booty hoes,7,7
hoes to,12,12
to my,71,70
my door,3,3
door step,1,1
rt nobody,4,4
nobody cares,5,5
cares bitch,3,3
rt get,11,11
get with,7,7
with the,105,104
the winning,1,1
winning team,1,1
team hoe,1,1
rt lol,48,48
lol this,9,9
this is,85,84
is why,14,14
why i,41,40
i dont,397,383
dont fuck,46,44
fuck with,89,86
with so,3,3
so many,35,35
many bitchesdont,1,1
bitchesdont call,1,1
call her,19,19
her a,22,22
a bitch,1393,1358
rt braxton,1,1
braxton cu,1,1
cu a,1,1
a hoe,607,556
hoe ass,58,57
ass nigga,108,105
nigga and,11,11
and wen,1,1
wen i,4,4
i see,72,72
see him,4,4
him ima,1,1
ima smack,1,1
smack him,1,1
him like,3,3
like da,3,3
da lil,2,2
lil bitch,96,94
bitch he,15,15
he is,21,21
rt you,184,184
you bitches,101,101
bitches are,58,58
are grade,1,1
grade a,6,6
a weird,3,3
ill quit,1,1
quit being,14,13
being a,163,160
bitch when,40,40
when you,176,174
you quit,1,1
a fake,13,12
fake friend,2,2
rt niggas,58,58
niggas be,43,43
be in,42,42
in that,68,67
that pussy,141,139
pussy like,43,43
dats y,2,2
y i,6,6
dont argue,4,4
argue wit,3,3
wit dese,2,2
dese bitches,6,6
bitches lol,18,18
maury is,1,1
is funny,8,8
funny sometimes,2,2
sometimes but,2,2
but the,29,29
the ratchet,2,2
ratchet hoes,10,10
